inst,args,energy
PUNPCKHBW,"['xmm0', 'xmm1']",5416063249
PUNPCKHWD,"['xmm0', 'xmm0']",5285961181
PUNPCKHWD,"['xmm0', 'xmm1']",5413963912
PUNPCKHDQ,"['xmm0', 'xmm0']",5285030570
PUNPCKHDQ,"['xmm0', 'xmm1']",5403528396
PUNPCKHQDQ,"['xmm0', 'xmm0']",5273703765
PUNPCKHQDQ,"['xmm0', 'xmm1']",5388854886
PACKSSWB,"['xmm0', 'xmm0']",5275809655
PACKSSWB,"['xmm0', 'xmm1']",5406560529
PACKSSDW,"['xmm0', 'xmm0']",5289511048
PACKSSDW,"['xmm0', 'xmm1']",5326971426
PACKUSWB,"['xmm0', 'xmm0']",5346166920
PACKUSWB,"['xmm0', 'xmm1']",5281603037
PSHUFLW,"['xmm0', 'xmm1', '0']",3102061363
PSHUFHW,"['xmm0', 'xmm1', '0']",2956012202
PSHUFD,"['xmm0', 'xmm1', '0']",2945825723
PSLLDQ,"['xmm0', '0']",5341688627
PSRLDQ,"['xmm0', '0']",5202276078
CVTSI2SS,"['xmm0', 'eax']",15332741393
CVTSI2SS,"['xmm0', '<0000000000000001>']",5912788992
CVTSI2SD,"['xmm0', 'eax']",15246653303
CVTSI2SD,"['xmm0', '<0000000000000001>']",15454998801
CVTPS2DQ,"['xmm0', 'xmm0']",15233292697
CVTPS2DQ,"['xmm0', 'xmm1']",5294009002
CVTTPS2DQ,"['xmm0', 'xmm0']",15314343253
CVTTPS2DQ,"['xmm0', 'xmm1']",5282396023
CVTDQ2PS,"['xmm0', 'xmm0']",15304327168
CVTDQ2PS,"['xmm0', 'xmm1']",5154943795
CVTPD2DQ,"['xmm0', 'xmm0']",20684205806
CVTPD2DQ,"['xmm0', 'xmm1']",5942581657
CVTTPD2DQ,"['xmm0', 'xmm0']",20673597713
CVTTPD2DQ,"['xmm0', 'xmm1']",5811387323
CVTDQ2PD,"['xmm0', 'xmm0']",20739301922
CVTDQ2PD,"['xmm0', 'xmm1']",5877036919
CVTDQ2PD,"['xmm0', '<0000000000000001>']",5995353429
CVTPI2PS,"['xmm0', '<0000000000000001>']",15465228970
CVTPI2PD,"['xmm0', '<0000000000000001>']",6101263974
CVTSD2SS,"['xmm0', 'xmm0']",20692513587
CVTSD2SS,"['xmm0', 'xmm1']",5805980603
CVTSD2SS,"['xmm0', '<0000000000000001>']",6088196096
CVTSS2SD,"['xmm0', 'xmm0']",10629923908
CVTSS2SD,"['xmm0', 'xmm1']",5953947784
CVTPD2PS,"['xmm0', 'xmm0']",20665916893
CVTPD2PS,"['xmm0', 'xmm1']",5953397282
CVTPS2PD,"['xmm0', 'xmm0']",10632687342
CVTPS2PD,"['xmm0', 'xmm1']",611961813947
CVTPS2PD,"['xmm0', '<0000000000000001>']",641065892795
EMMS,[],95553650688
