,phase,sim_time,real_time,sim_en,real_en
93,"[(3401000.0, 2.0), (2200000.0, 2.0)]",2.4741311073303223,2.235,26.635262805068486,26.778312
94,"[(3401000.0, 2.0), (2200000.0, 3.0)]",2.9512698650360107,2.7119999999999997,24.210395267050263,28.692676
95,"[(3401000.0, 2.0), (2200000.0, 4.0)]",2.336165189743042,2.425,23.992519874386787,26.758721
96,"[(3401000.0, 2.0), (1900000.0, 1.0)]",4.028111696243286,2.526,26.637376679615976,31.368389
97,"[(3401000.0, 2.0), (1900000.0, 2.0)]",2.8161239624023438,2.34,25.666952959997655,26.530022
98,"[(3401000.0, 2.0), (1900000.0, 3.0)]",3.295328378677368,2.338,26.263850824182036,26.952019
99,"[(3401000.0, 2.0), (1900000.0, 4.0)]",2.840897798538208,2.657,22.99572398556232,26.869011
100,"[(3401000.0, 2.0), (1700000.0, 1.0)]",4.014129161834717,2.554,26.327736554362772,31.553019
101,"[(3401000.0, 2.0), (1700000.0, 2.0)]",2.9989211559295654,2.49,24.645740642001627,26.456170999999998
102,"[(3401000.0, 2.0), (1700000.0, 3.0)]",3.743941068649292,2.7009999999999996,25.17943911123514,27.572623
103,"[(3401000.0, 2.0), (1700000.0, 4.0)]",2.989825963973999,2.891,22.870288943722247,27.140921
104,"[(3401000.0, 2.0), (1500000.0, 1.0)]",4.035772323608398,2.5940000000000003,26.21509722185612,31.775248
105,"[(3401000.0, 2.0), (1500000.0, 2.0)]",2.920915126800537,2.572,23.913537395961285,26.437371
106,"[(3401000.0, 2.0), (1500000.0, 3.0)]",3.600250244140625,2.841,23.830866011373995,27.498283
107,"[(3401000.0, 2.0), (1500000.0, 4.0)]",3.0012590885162354,3.38,21.363445158288478,28.226003000000002
108,"[(3401000.0, 2.0), (1300000.0, 1.0)]",4.167381286621094,2.558,26.703804647603032,31.454448
109,"[(3401000.0, 2.0), (1300000.0, 2.0)]",3.0059728622436523,2.919,23.661367619328495,26.565239000000002
110,"[(3401000.0, 2.0), (1300000.0, 3.0)]",3.5556132793426514,2.737,24.151664567868707,26.512933
111,"[(3401000.0, 2.0), (1300000.0, 4.0)]",2.91698956489563,2.997,21.866273744482996,26.618035
112,"[(3401000.0, 2.0), (1100000.0, 1.0)]",4.020455360412598,2.5229999999999997,26.415300042405125,31.422831
113,"[(3401000.0, 2.0), (1100000.0, 2.0)]",3.1224210262298584,2.914,23.815599814038276,26.709221
114,"[(3401000.0, 2.0), (1100000.0, 3.0)]",3.7121517658233643,2.9050000000000002,24.445557600138187,26.96154
115,"[(3401000.0, 2.0), (1100000.0, 4.0)]",2.971043586730957,3.192,21.658863572013374,27.520743
116,"[(3401000.0, 2.0), (800000.0, 1.0)]",4.239456653594971,2.5599999999999996,26.852191011254785,31.535197000000004
