name,frequency,input,cores,speedup,ipmi_energy,parallel_frac
completo_black_2,1.5,2.0,20.0,8.994515628750186,2.3498636430263518,0.9356011992810389
completo_black_2,1.5,2.0,22.0,9.074607753555844,2.336817065477371,0.9321739423241612
completo_black_2,1.5,2.0,24.0,8.96734792845666,2.372553337860108,0.9271140616442591
completo_black_2,1.5,2.0,26.0,11.264844282385061,1.9347578083276749,0.9476773744998627
completo_black_2,1.5,2.0,28.0,11.137692469341015,1.9744749240875243,0.9439264542218162
completo_black_2,1.5,2.0,30.0,11.175515733193096,1.9775532360672952,0.9419158665578824
completo_black_2,1.5,2.0,32.0,11.278607078925623,1.9478715569376945,0.9407345228861586
completo_black_2,1.5,3.0,1.0,1.0,34.950075180739496,
completo_black_2,1.5,3.0,2.0,1.9520120077797607,18.026122795237434,0.9754161388203645
completo_black_2,1.5,3.0,4.0,3.590268308132703,10.028262871831656,0.9619590462603989
completo_black_2,1.5,3.0,6.0,4.851111542974329,7.550672258059184,0.9526340119435281
completo_black_2,1.5,3.0,8.0,5.7962748604685315,6.4202307426452645,0.9456861717819784
completo_black_2,1.5,3.0,10.0,6.677928814664909,5.668892915432269,0.9447255233116303
completo_black_2,1.5,3.0,12.0,7.834417461388948,4.893149108323184,0.9516633720939377
completo_black_2,1.5,3.0,14.0,8.518755707633382,4.621651709747314,0.9505051922127453
completo_black_2,1.5,3.0,16.0,8.6238160634517,4.584891495752335,0.9429781906117018
completo_black_2,1.5,3.0,18.0,9.67499480223466,4.20210706029998,0.9493843461300119
completo_black_2,1.5,3.0,20.0,9.625117326301623,4.249175139745076,0.9432685921637222
completo_black_2,1.5,3.0,22.0,10.93804690698111,3.773159871339798,0.9518415238501182
completo_black_2,1.5,3.0,24.0,10.913489526112231,3.7777893861830236,0.9478646389961141
completo_black_2,1.5,3.0,26.0,10.764590372350536,3.8652727432549,0.9433869414417014
completo_black_2,1.5,3.0,28.0,10.773117078521558,3.9052355819642544,0.940775478801066
completo_black_2,1.5,3.0,30.0,12.220287190160471,3.4735487569059647,0.9498298578726914
